method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dct,cover_vs_stego,cover,stego,00099.png,0.0,0.25,0.0,1.0,0.0,0.25,0.5,0.5,0.25,1.0,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,00199.png,0.1,0.5,0.4,1.0,0.25,0.5,0.5,0.5,0.4,0.6,0.25,0.0,0.5,0.2,,,,,,,,
dct,cover_vs_stego,cover,stego,00299.png,0.0,0.30000000000000004,0.0,0.8,0.0,0.25,0.5,0.5666666666666668,0.30000000000000004,0.8,0.25,0.06666666666666676,0.5333333333333334,0.16000000000000006,,,,,,,,
dct,cover_vs_stego,cover,stego,00399.png,0.0,0.175,0.0,0.4,0.0,0.25,0.5,0.5,0.175,0.4,0.25,0.0,0.5,0.0875,,,,,,,,
dct,cover_vs_stego,cover,stego,00499.png,0.0,0.25,0.0,0.8,0.0,0.25,0.5,0.5,0.25,0.8,0.25,0.0,0.5,0.125,,,,,,,,
dct,cover_vs_stego,cover,stego,00599.png,0.0,0.125,0.0,0.5,0.0,0.0,0.5,0.5333333333333333,0.125,0.5,0.0,0.033333333333333326,0.5166666666666666,0.06458333333333333,,,,,,,,
dct,cover_vs_stego,cover,stego,00699.png,0.0,0.39999999999999997,0.0,0.8,0.0,0.75,0.5,0.5,0.39999999999999997,0.8,0.75,0.0,0.5,0.19999999999999998,,,,,,,,
dct,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.6,0.2,1.0,0.25,0.75,0.5,0.5,0.44999999999999996,0.8,0.5,0.0,0.5,0.22499999999999998,,,,,,,,
dct,cover_vs_stego,cover,stego,00899.png,0.0,0.275,0.0,0.5,0.0,0.5,0.5,0.5,0.275,0.5,0.5,0.0,0.5,0.1375,,,,,,,,
dct,cover_vs_stego,cover,stego,00999.png,0.0,0.4,0.0,1.0,0.0,0.5,0.5666666666666668,0.5,0.4,1.0,0.5,-0.06666666666666676,0.5333333333333334,0.21333333333333337,,,,,,,,
dct,cover_vs_stego,cover,stego,01099.png,0.025,0.225,0.1,0.9,0.0,0.25,0.5,0.5,0.2,0.8,0.25,0.0,0.5,0.1,,,,,,,,
dct,cover_vs_stego,cover,stego,01199.png,0.0,0.3,0.0,0.9,0.0,0.25,0.5,0.5,0.3,0.9,0.25,0.0,0.5,0.15,,,,,,,,
dct,cover_vs_stego,cover,stego,01299.png,0.4,0.175,1.6,0.5,0.25,0.25,0.5,0.5,-0.22500000000000003,-1.1,0.0,0.0,0.5,-0.11250000000000002,,,,,,,,
dct,cover_vs_stego,cover,stego,01399.png,0.0,0.075,0.0,0.3,0.0,0.0,0.5,0.5,0.075,0.3,0.0,0.0,0.5,0.0375,,,,,,,,
dct,cover_vs_stego,cover,stego,01499.png,0.0,0.225,0.0,0.9,0.0,0.25,0.5,0.5,0.225,0.9,0.25,0.0,0.5,0.1125,,,,,,,,
dct,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,1.15,4.5,0.25,0.0,0.5,0.575,0.025,1.1749999999999998,0.1,4.6,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.225,0.8,0.25,-0.033333333333333326,0.5166666666666666,0.11624999999999999,0.0,0.225,0.0,0.8,0.0,0.25,0.5333333333333333,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.35000000000000003,1.3,0.25,0.0,0.5,0.17500000000000002,0.0,0.35000000000000003,0.0,1.3,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,2.8249999999999997,11.2,0.0,0.0,0.5,1.4124999999999999,0.075,2.9,0.3,11.5,0.25,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.025,0.1,0.0,0.0,0.5,0.0125,0.0,0.025,0.0,0.1,0.0,0.0,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.375,1.4,0.25,0.0,0.5,0.1875,0.0,0.375,0.0,1.4,0.0,0.25,0.5,0.5
dct,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,3.0,11.9,0.0,0.0,0.5,1.5,0.1,3.1,0.4,12.3,0.25,0.25,0.5,0.5
