epoch,cover_loss,cover_psnr,loss,lr,noise_prob,payload_len,psnr_dct,psnr_dwt,psnr_none,psnr_spread_spectrum,psnr_statistical,secret_loss,secret_ssim,ssim_dct,ssim_dwt,ssim_none,ssim_spread_spectrum,ssim_statistical,val_cover_loss,val_cover_psnr,val_loss,val_noise_prob,val_payload_len,val_psnr_dct,val_psnr_dwt,val_psnr_none,val_psnr_spread_spectrum,val_psnr_statistical,val_secret_loss,val_secret_ssim,val_ssim_dct,val_ssim_dwt,val_ssim_none,val_ssim_spread_spectrum,val_ssim_statistical
0,0.030538400635123253,16.361711502075195,0.24538281559944153,0.0009997556917369366,0.0,0.0,0.0,0.0,16.361711502075195,0.0,0.0,0.05054579675197601,0.37425944209098816,0.0,0.0,0.37425944209098816,0.0,0.0,0.01525892410427332,18.780248641967773,0.22556936740875244,0.0,0.0,0.0,0.0,18.780248641967773,0.0,0.0,0.059812281280756,0.2618066966533661,0.0,0.0,0.2618066966533661,0.0,0.0
1,0.009744036942720413,20.86002540588379,0.08866161853075027,0.0009990233229473233,0.0,0.0,0.0,0.0,20.86002540588379,0.0,0.0,0.019758595153689384,0.581762969493866,0.0,0.0,0.581762969493866,0.0,0.0,0.006310227792710066,22.64906120300293,0.1803218275308609,0.0,0.0,0.0,0.0,22.64906120300293,0.0,0.0,0.05377693846821785,0.39243462681770325,0.0,0.0,0.39243462681770325,0.0,0.0
2,0.005341192241758108,23.459047317504883,0.06517535448074341,0.0009978031739592552,0.0,0.0,0.0,0.0,23.459047317504883,0.0,0.0,0.016369471326470375,0.672229528427124,0.0,0.0,0.672229528427124,0.0,0.0,0.004464531783014536,24.15582275390625,0.1375105082988739,0.0,0.0,0.0,0.0,24.15582275390625,0.0,0.0,0.04136229306459427,0.4829932451248169,0.0,0.0,0.4829932451248169,0.0,0.0
3,0.00483507988974452,24.142242431640625,0.06220146268606186,0.0009960968745872378,0.0,0.0,0.0,0.0,24.142242431640625,0.0,0.0,0.0158867035061121,0.7018435001373291,0.0,0.0,0.7018435001373291,0.0,0.0,0.0039820424281060696,25.02022361755371,0.11918846517801285,0.0,0.0,0.0,0.0,25.02022361755371,0.0,0.0,0.0357394702732563,0.5677308440208435,0.0,0.0,0.5677308440208435,0.0,0.0
4,0.004204155877232552,24.82202911376953,0.053773052990436554,0.000993905821815133,0.0,0.0,0.0,0.0,24.82202911376953,0.0,0.0,0.013711120933294296,0.7556467652320862,0.0,0.0,0.7556467652320862,0.0,0.0,0.004182176198810339,24.838773727416992,0.13008175790309906,0.0,0.0,0.0,0.0,24.838773727416992,0.0,0.0,0.03916962444782257,0.5810637474060059,0.0,0.0,0.5810637474060059,0.0,0.0
5,0.0036649066023528576,25.394824981689453,0.048027314245700836,0.0009912322275340557,0.0,0.0,0.0,0.0,25.394824981689453,0.0,0.0,0.0123374555259943,0.7944380640983582,0.0,0.0,0.7944380640983582,0.0,0.0,0.0036421578843146563,25.373437881469727,0.06990230828523636,0.0,0.0,0.0,0.0,25.373437881469727,0.0,0.0,0.019651951268315315,0.7467589974403381,0.0,0.0,0.7467589974403381,0.0,0.0
6,0.0034515513107180595,25.662635803222656,0.044756900519132614,0.0009880787692964077,0.0,0.0,0.0,0.0,25.662635803222656,0.0,0.0,0.011461447924375534,0.8180246949195862,0.0,0.0,0.8180246949195862,0.0,0.0,0.0035032955929636955,25.422500610351562,0.06997467577457428,0.0,0.0,0.0,0.0,25.422500610351562,0.0,0.0,0.01981545239686966,0.7742233872413635,0.0,0.0,0.7742233872413635,0.0,0.0
7,0.003288057167083025,25.883047103881836,0.04236337170004845,0.0009844487067312002,0.0,0.0,0.0,0.0,25.883047103881836,0.0,0.0,0.010827665217220783,0.829756498336792,0.0,0.0,0.829756498336792,0.0,0.0,0.0037484171334654093,25.008941650390625,0.07200237363576889,0.0,0.0,0.0,0.0,25.008941650390625,0.0,0.0,0.020245341584086418,0.7752998471260071,0.0,0.0,0.7752998471260071,0.0,0.0
8,0.0033127781935036182,25.83179473876953,0.035133589059114456,0.000980345532298088,0.0,0.0,0.0,0.0,25.83179473876953,0.0,0.0,0.008392934687435627,0.8073056936264038,0.0,0.0,0.8073056936264038,0.0,0.0,0.003500903956592083,25.468482971191406,0.05346539616584778,0.0,0.0,0.0,0.0,25.468482971191406,0.0,0.0,0.014314759522676468,0.7880120873451233,0.0,0.0,0.7880120873451233,0.0,0.0
9,0.003189412411302328,26.019506454467773,0.027985773980617523,0.0009757730294950306,0.0,0.0,0.0,0.0,26.019506454467773,0.0,0.0,0.006134080234915018,0.8246745467185974,0.0,0.0,0.8246745467185974,0.0,0.0,0.003494747681543231,25.38753318786621,0.04913972690701485,0.0,0.0,0.0,0.0,25.38753318786621,0.0,0.0,0.012879051268100739,0.8140365481376648,0.0,0.0,0.8140365481376648,0.0,0.0
10,0.003045692341402173,26.261371612548828,0.025227047502994537,0.0009707360295578837,0.0,0.0,0.0,0.0,26.261371612548828,0.0,0.0,0.005358685739338398,0.8452569842338562,0.0,0.0,0.8452569842338562,0.0,0.0,0.0032153797801584005,25.85498046875,0.04318529739975929,0.0,0.0,0.0,0.0,25.85498046875,0.0,0.0,0.011174559593200684,0.8357267379760742,0.0,0.0,0.8357267379760742,0.0,0.0
11,0.0029582371935248375,26.4335880279541,0.0234407726675272,0.0009652393637225032,0.0,0.0,0.0,0.0,26.4335880279541,0.0,0.0,0.0048509868793189526,0.8605725169181824,0.0,0.0,0.8605725169181824,0.0,0.0,0.0031859467271715403,25.97480010986328,0.04547115042805672,0.0,0.0,0.0,0.0,25.97480010986328,0.0,0.0,0.011966024525463581,0.8119583129882812,0.0,0.0,0.8119583129882812,0.0,0.0
12,0.0028089331462979317,26.708284378051758,0.02197566255927086,0.0009592885617166758,0.0,0.0,0.0,0.0,26.708284378051758,0.0,0.0,0.004512363579124212,0.8697090744972229,0.0,0.0,0.8697090744972229,0.0,0.0,0.0030587457586079836,26.154844284057617,0.03492168337106705,0.0,0.0,0.0,0.0,26.154844284057617,0.0,0.0,0.008577144704759121,0.8526495099067688,0.0,0.0,0.8526495099067688,0.0,0.0
13,0.002769142622128129,26.775428771972656,0.021315058693289757,0.0009528895025141537,0.0,0.0,0.0,0.0,26.775428771972656,0.0,0.0,0.004332072101533413,0.8761486411094666,0.0,0.0,0.8761486411094666,0.0,0.0,0.003323913784697652,25.776832580566406,0.0897393450140953,0.0,0.0,0.0,0.0,25.776832580566406,0.0,0.0,0.02658367156982422,0.6933934688568115,0.0,0.0,0.6933934688568115,0.0,0.0
14,0.0027126686181873083,26.929935455322266,0.02072182483971119,0.0009460482397116721,0.0,0.0,0.0,0.0,26.929935455322266,0.0,0.0,0.004190950654447079,0.878677248954773,0.0,0.0,0.878677248954773,0.0,0.0,0.0028990127611905336,26.53034782409668,0.032506633549928665,0.0,0.0,0.0,0.0,26.53034782409668,0.0,0.0,0.007932337000966072,0.858948290348053,0.0,0.0,0.858948290348053,0.0,0.0
15,0.002684718230739236,26.962419509887695,0.02038671262562275,0.0009387718746438622,0.0,0.0,0.0,0.0,26.962419509887695,0.0,0.0,0.004107274580746889,0.883775532245636,0.0,0.0,0.883775532245636,0.0,0.0,0.002974878065288067,26.31092071533203,0.027756115421652794,0.0,0.0,0.0,0.0,26.31092071533203,0.0,0.0,0.00627274252474308,0.865321695804596,0.0,0.0,0.865321695804596,0.0,0.0
16,0.002611980540677905,27.118112564086914,0.019847562536597252,0.0009310673922300339,0.0,0.0,0.0,0.0,27.118112564086914,0.0,0.0,0.004000495653599501,0.8867098093032837,0.0,0.0,0.8867098093032837,0.0,0.0,0.0027999626472592354,26.651153564453125,0.02822568453848362,0.0,0.0,0.0,0.0,26.651153564453125,0.0,0.0,0.00660468777641654,0.861478865146637,0.0,0.0,0.861478865146637,0.0,0.0
17,0.0025638011284172535,27.22555923461914,0.01921110786497593,0.0009229423594661057,0.0,0.0,0.0,0.0,27.22555923461914,0.0,0.0,0.0038366520311683416,0.8910637497901917,0.0,0.0,0.8910637497901917,0.0,0.0,0.002746165730059147,26.768110275268555,0.02688525803387165,0.0,0.0,0.0,0.0,26.768110275268555,0.0,0.0,0.006211836356669664,0.8707725405693054,0.0,0.0,0.8707725405693054,0.0,0.0
18,0.002488601952791214,27.424518585205078,0.018617771565914154,0.0009144049836322665,0.0,0.0,0.0,0.0,27.424518585205078,0.0,0.0,0.003714263904839754,0.8943520784378052,0.0,0.0,0.8943520784378052,0.0,0.0,0.002602799329906702,27.071504592895508,0.030725406482815742,0.0,0.0,0.0,0.0,27.071504592895508,0.0,0.0,0.007635641377419233,0.8700733184814453,0.0,0.0,0.8700733184814453,0.0,0.0
19,0.002443028148263693,27.51910972595215,0.018318595364689827,0.0009054634138010442,0.0,0.0,0.0,0.0,27.51910972595215,0.0,0.0,0.00366022321395576,0.896586000919342,0.0,0.0,0.896586000919342,0.0,0.0,0.0026099607348442078,27.04167366027832,0.027303390204906464,0.0,0.0,0.0,0.0,27.04167366027832,0.0,0.0,0.006487783510237932,0.8714695572853088,0.0,0.0,0.8714695572853088,0.0,0.0
20,0.0024020192213356495,27.609317779541016,0.018043994903564453,0.0008961267885752022,0.0,0.0,0.0,0.0,27.609317779541016,0.0,0.0,0.0036097972188144922,0.8984335660934448,0.0,0.0,0.8984335660934448,0.0,0.0,0.0025085785891860723,27.26563835144043,0.027967127040028572,0.0,0.0,0.0,0.0,27.26563835144043,0.0,0.0,0.006810676772147417,0.8693616986274719,0.0,0.0,0.8693616986274719,0.0,0.0
21,0.002365316031500697,27.69552993774414,0.01774478890001774,0.0008864041301421821,0.0,0.0,0.0,0.0,27.69552993774414,0.0,0.0,0.0035468577407300472,0.9002712965011597,0.0,0.0,0.9002712965011597,0.0,0.0,0.002487764460965991,27.288393020629883,0.03162924200296402,0.0,0.0,0.0,0.0,27.288393020629883,0.0,0.0,0.008052252233028412,0.858936607837677,0.0,0.0,0.858936607837677,0.0,0.0
22,0.0023247620556503534,27.800180435180664,0.017378754913806915,0.0008763050427660346,0.0,0.0,0.0,0.0,27.800180435180664,0.0,0.0,0.003465494606643915,0.9027392864227295,0.0,0.0,0.9027392864227295,0.0,0.0,0.00244791223667562,27.4215145111084,0.03268125653266907,0.0,0.0,0.0,0.0,27.4215145111084,0.0,0.0,0.008442861028015614,0.8590772747993469,0.0,0.0,0.8590772747993469,0.0,0.0
23,0.002302661770954728,27.853607177734375,0.017029792070388794,0.0008658395381644368,0.0,0.0,0.0,0.0,27.853607177734375,0.0,0.0,0.003371329978108406,0.9044108390808105,0.0,0.0,0.9044108390808105,0.0,0.0,0.0025082172360271215,27.258087158203125,0.03011453151702881,0.0,0.0,0.0,0.0,27.258087158203125,0.0,0.0,0.007526840548962355,0.8662748336791992,0.0,0.0,0.8662748336791992,0.0,0.0
24,0.002274598926305771,27.937101364135742,0.016765406355261803,0.0008550179190933704,0.0,0.0,0.0,0.0,27.937101364135742,0.0,0.0,0.003311330685392022,0.90602707862854,0.0,0.0,0.90602707862854,0.0,0.0,0.002525932854041457,27.206703186035156,0.031500671058893204,0.0,0.0,0.0,0.0,27.206703186035156,0.0,0.0,0.007971123792231083,0.8658847808837891,0.0,0.0,0.8658847808837891,0.0,0.0
25,0.002273993333801627,27.933565139770508,0.016629917547106743,0.0008438508957624435,0.0,0.0,0.0,0.0,27.933565139770508,0.0,0.0,0.0032667736522853374,0.9072160720825195,0.0,0.0,0.9072160720825195,0.0,0.0,0.0024493010714650154,27.3475399017334,0.030308911576867104,0.0,0.0,0.0,0.0,27.3475399017334,0.0,0.0,0.00765070179477334,0.8635948300361633,0.0,0.0,0.8635948300361633,0.0,0.0
