method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/2/results_raw/dct/cover,0,False,0,837.3526930809021,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/2/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/2/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/2/results_raw/dct/stego,0,False,0,837.5351021289825,15,0.26333333333333336,1.0,0.3333333333333333,0.5066666666666666,,data/baseline/2/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/2/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/2/results_raw/dct/pre_secret,0,False,0,839.5733156204224,15,0.036666666666666674,0.5,0.11666666666666667,0.5111111111111111,,data/baseline/2/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/2/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/2/results_raw/dct/secret,0,False,0,833.7514848709106,15,1.2416666666666667,11.7,0.25,0.5,,data/baseline/2/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/2/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/2/results_raw/dwt/cover,0,False,0,850.1403794288635,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/2/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/2/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/2/results_raw/dwt/stego,0,False,0,835.2727656364441,15,0.3316666666666667,1.0,0.35,0.5066666666666666,,data/baseline/2/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/2/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/2/results_raw/dwt/pre_secret,0,False,0,837.6098926067352,15,0.036666666666666674,0.5,0.11666666666666667,0.5044444444444445,,data/baseline/2/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/2/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/2/results_raw/dwt/secret,0,False,0,845.9356472492218,15,0.18333333333333332,1.9,0.21666666666666667,0.5,,data/baseline/2/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/2/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/2/results_raw/lsb/cover,0,False,0,841.6133549213409,15,0.045000000000000005,1.6,0.05,0.5022222222222222,,data/baseline/2/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/2/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/2/results_raw/lsb/stego,0,False,0,841.3414168357849,15,0.295,1.0,0.3333333333333333,0.5244444444444444,,data/baseline/2/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/2/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
