method,pair_name,image_name,tool,role_a,role_b,role_a_path,role_b_path,return_code,elapsed_sec,stdout_log,stderr_log
dct,cover_vs_stego,00099.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00099.png,data/baseline/4/results_raw/dct/stego/00099.png,0,0.9441738128662109,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00099_print-diffs_stderr.txt
dct,cover_vs_stego,00199.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00199.png,data/baseline/4/results_raw/dct/stego/00199.png,0,0.9277541637420654,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00199_print-diffs_stderr.txt
dct,cover_vs_stego,00299.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00299.png,data/baseline/4/results_raw/dct/stego/00299.png,0,0.9335823059082031,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00299_print-diffs_stderr.txt
dct,cover_vs_stego,00399.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00399.png,data/baseline/4/results_raw/dct/stego/00399.png,0,0.9165117740631104,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00399_print-diffs_stderr.txt
dct,cover_vs_stego,00499.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00499.png,data/baseline/4/results_raw/dct/stego/00499.png,0,0.9757483005523682,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00499_print-diffs_stderr.txt
dct,cover_vs_stego,00599.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00599.png,data/baseline/4/results_raw/dct/stego/00599.png,0,0.9111282825469971,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00599_print-diffs_stderr.txt
dct,cover_vs_stego,00699.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00699.png,data/baseline/4/results_raw/dct/stego/00699.png,0,0.9996068477630615,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00699_print-diffs_stderr.txt
dct,cover_vs_stego,00799.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00799.png,data/baseline/4/results_raw/dct/stego/00799.png,0,0.923877477645874,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00799_print-diffs_stderr.txt
dct,cover_vs_stego,00899.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00899.png,data/baseline/4/results_raw/dct/stego/00899.png,0,0.9830756187438965,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00899_print-diffs_stderr.txt
dct,cover_vs_stego,00999.png,print-diffs,cover,stego,data/baseline/4/results_raw/dct/cover/00999.png,data/baseline/4/results_raw/dct/stego/00999.png,0,0.9352195262908936,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stdout.txt,data/baseline/4/aletheia_outputs/logs/dct_cover_vs_stego_00999_print-diffs_stderr.txt
