method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
dct,cover_vs_stego,0.045000000000000005,0.05,0.43333333333333335,0.5,15,15,15,0.38833333333333336,0.425,0.18392221440701761,0.04748851155973127,0.09307748265707329,0.9333333333333333,0.45,0.5,0.21547290184283366,0.05563486402641868,0.10904433349178061,0.19752777777777775,0.047207522561767135,,,,
dct,pre_secret_vs_secret,,,,,15,15,15,1.41,1.575,1.042053261594627,0.26905699520114074,0.5273517105942358,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.7099999999999999,0.2664281359572026,0.035,0.11666666666666667,1.4449999999999998,0.25
dwt,cover_vs_stego,0.045000000000000005,0.05,0.3516666666666666,0.4166666666666667,15,15,15,0.30666666666666664,0.375,0.22209768335662794,0.05734537525809788,0.11239693550587185,0.8666666666666667,0.36666666666666664,0.5,0.29680841985233186,0.07663560447348135,0.15020578476802343,0.15869444444444444,0.05841617059016923,,,,
dwt,pre_secret_vs_secret,,,,,15,15,15,0.13,0.1,0.10987005311470716,0.02836832573067901,0.05560191843213086,1.0,0.11666666666666667,0.0,0.1599851183555461,0.04130797993547017,0.08096364067352153,0.0653611111111111,0.02815522360148081,0.035,0.11666666666666667,0.165,0.23333333333333334
lsb,cover_vs_stego,0.045000000000000005,0.05,0.3766666666666667,0.4166666666666667,15,15,15,0.3316666666666667,0.45,0.24448682893728557,0.06312622778941124,0.12372740646724602,0.9333333333333333,0.36666666666666664,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.16919444444444445,0.062409246564833036,,,,
lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.11666666666666667,0.035,0.11666666666666667
original,cover_vs_stego,0.045000000000000005,0.05,0.38666666666666666,0.43333333333333335,15,15,15,0.3416666666666666,0.475,0.23972951027196904,0.06189789339185306,0.12131987104803199,0.9333333333333333,0.38333333333333336,0.5,0.29680841985233186,0.07663560447348135,0.15020578476802343,0.17413888888888887,0.06116362996801446,,,,
original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.09,0.13333333333333333,15,15,15,0.045000000000000005,0.075,0.12789504625724507,0.03302235894778249,0.06472382353765369,0.8461538461538461,0.08333333333333333,0.0,0.18093671611393647,0.04671765921511567,0.09156661206162671,0.022777777777777772,0.03255346589804699,,,,
spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.283333333333333,6.075,0.9235832135660286,0.23846816033186377,0.46739759425045296,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.156361111111111,0.23786435973231504,0.035,0.11666666666666667,6.318333333333333,0.25
statistical,cover_vs_stego,0.045000000000000005,0.05,0.38333333333333336,0.4166666666666667,15,15,15,0.3383333333333333,0.45,0.22056475131763356,0.05694957390757168,0.1116211648588405,0.9333333333333333,0.36666666666666664,0.5,0.3255032733358929,0.08404458378439426,0.16472738421741276,0.17305555555555555,0.05655369517787148,,,,
statistical,pre_secret_vs_secret,,,,,15,15,15,0.07666666666666667,0.05,0.06157651067303722,0.015898986690282425,0.031162013912953552,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.03847222222222223,0.015543796944658989,0.035,0.11666666666666667,0.11166666666666666,0.23333333333333334
