pair_name,method,n_cells,n_total_matched_images,mean_score_gap,mean_flagged_gap,score_cost_z,flagged_cost_z,composite_cost_z,rank_score_gap,rank_flagged_gap,rank_composite,ranking_objective
cover_vs_stego,spread_spectrum,7,105.0,0.09047619047619045,0.11904761904761901,-2.2200384826605855,-2.2023921710018564,-4.422430653662442,1.0,1.0,1.0,stealth_minimize_gap
cover_vs_stego,dct,7,105.0,0.29952380952380947,0.3476190476190476,0.2472954259166221,0.16878145609546932,0.4160768820120914,2.0,2.0,2.0,stealth_minimize_gap
cover_vs_stego,lsb,7,105.0,0.31523809523809526,0.36904761904761907,0.43276699535408963,0.3910789836358439,0.8238459789899335,3.0,3.0,3.0,stealth_minimize_gap
cover_vs_stego,statistical,7,105.0,0.3154761904761904,0.3738095238095238,0.43557717064859564,0.4404784342003714,0.876055604848967,4.0,4.0,4.0,stealth_minimize_gap
cover_vs_stego,original,7,105.0,0.31619047619047613,0.3738095238095238,0.44400769653211697,0.4404784342003714,0.8844861307324884,5.0,4.0,5.0,stealth_minimize_gap
cover_vs_stego,dwt,7,105.0,0.3345238095238095,0.40476190476190477,0.6603911942091618,0.7615748628698009,1.4219660570789627,6.0,5.0,6.0,stealth_minimize_gap
pre_secret_vs_secret,lsb,7,105.0,0.0,0.0,-0.5747175139848063,-1.3906336405605724,-1.9653511545453788,1.0,1.0,1.0,stealth_minimize_gap
pre_secret_vs_secret,original,7,105.0,0.0,0.0,-0.5747175139848063,-1.3906336405605724,-1.9653511545453788,1.0,1.0,1.0,stealth_minimize_gap
pre_secret_vs_secret,statistical,7,105.0,0.07142857142857138,0.09999999999999996,-0.5425414844624695,0.3615647465457486,-0.18097673791672092,2.0,2.0,2.0,stealth_minimize_gap
pre_secret_vs_secret,dwt,7,105.0,0.1395238095238095,0.119047619047619,-0.5118670029845085,0.6953168202802859,0.18344981729577736,3.0,3.0,3.0,stealth_minimize_gap
pre_secret_vs_secret,dct,7,105.0,1.3133333333333335,0.12142857142857137,0.016892415499226876,0.7370358294971029,0.7539282449963298,4.0,4.0,4.0,stealth_minimize_gap
pre_secret_vs_secret,spread_spectrum,7,105.0,6.130714285714286,0.1357142857142857,2.186951099917364,0.9873498847980068,3.1743009847153707,5.0,5.0,5.0,stealth_minimize_gap
