run_data_dir,method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
data\baseline\0,dct,cover_vs_stego,cover,stego,00099.png,0.0,0.25,0.0,1.0,0.0,0.25,0.5,0.5,0.25,1.0,0.25,0.0,0.5,0.125,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00199.png,0.1,0.5,0.4,1.0,0.25,0.5,0.5,0.5,0.4,0.6,0.25,0.0,0.5,0.2,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00299.png,0.0,0.3,0.0,0.8,0.0,0.25,0.5,0.5666666666666668,0.3,0.8,0.25,0.0666666666666667,0.5333333333333334,0.16,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00399.png,0.0,0.175,0.0,0.4,0.0,0.25,0.5,0.5,0.175,0.4,0.25,0.0,0.5,0.0875,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00499.png,0.0,0.25,0.0,0.8,0.0,0.25,0.5,0.5,0.25,0.8,0.25,0.0,0.5,0.125,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00599.png,0.0,0.125,0.0,0.5,0.0,0.0,0.5,0.5333333333333333,0.125,0.5,0.0,0.0333333333333333,0.5166666666666666,0.0645833333333333,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00699.png,0.0,0.3999999999999999,0.0,0.8,0.0,0.75,0.5,0.5,0.3999999999999999,0.8,0.75,0.0,0.5,0.1999999999999999,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00799.png,0.15,0.6,0.2,1.0,0.25,0.75,0.5,0.5,0.4499999999999999,0.8,0.5,0.0,0.5,0.2249999999999999,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00899.png,0.0,0.275,0.0,0.5,0.0,0.5,0.5,0.5,0.275,0.5,0.5,0.0,0.5,0.1375,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,00999.png,0.0,0.4,0.0,1.0,0.0,0.5,0.5666666666666668,0.5,0.4,1.0,0.5,-0.0666666666666667,0.5333333333333334,0.2133333333333333,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,01099.png,0.025,0.225,0.1,0.9,0.0,0.25,0.5,0.5,0.2,0.8,0.25,0.0,0.5,0.1,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,01199.png,0.0,0.3,0.0,0.9,0.0,0.25,0.5,0.5,0.3,0.9,0.25,0.0,0.5,0.15,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,01299.png,0.4,0.175,1.6,0.5,0.25,0.25,0.5,0.5,-0.225,-1.1,0.0,0.0,0.5,-0.1125,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,01399.png,0.0,0.075,0.0,0.3,0.0,0.0,0.5,0.5,0.075,0.3,0.0,0.0,0.5,0.0375,,,,,,,,
data\baseline\0,dct,cover_vs_stego,cover,stego,01499.png,0.0,0.225,0.0,0.9,0.0,0.25,0.5,0.5,0.225,0.9,0.25,0.0,0.5,0.1125,,,,,,,,
data\baseline\0,dct,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,1.15,4.5,0.25,0.0,0.5,0.575,0.025,1.1749999999999998,0.1,4.6,0.0,0.25,0.5,0.5
data\baseline\0,dct,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.225,0.8,0.25,-0.0333333333333333,0.5166666666666666,0.1162499999999999,0.0,0.225,0.0,0.8,0.0,0.25,0.5333333333333333,0.5
