delta,block_size,rep,label,ber_text,text_acc,method,ablation_idx,band,gain,threshold
200.0,4.0,1.0,dct_d200_rep1,1.0,0.0,dct,0,,,
200.0,4.0,3.0,dct_d200_rep3,1.0,0.0,dct,0,,,
300.0,4.0,1.0,dct_d300_rep1,1.0,0.0,dct,0,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,0,,,
400.0,4.0,1.0,dct_d400_rep1,1.0,0.0,dct,0,,,
200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,dwt,0,LL,,
200.0,,3.0,dwt_LL_d200_rep3,1.0,0.0,dwt,0,LL,,
300.0,,1.0,dwt_LL_d300_rep1,1.0,0.0,dwt,0,LL,,
300.0,,1.0,dwt_LH_d300_rep1,1.0,0.0,dwt,0,LH,,
400.0,,1.0,dwt_LL_d400_rep1,1.0,0.0,dwt,0,LL,,
,,,ss_g200,0.0,1.0,spread_spectrum,0,,200.0,
,,,ss_g300,0.0,1.0,spread_spectrum,0,,300.0,
,,,ss_g500,0.0,1.0,spread_spectrum,0,,500.0,
,,,ss_g600,0.0,1.0,spread_spectrum,0,,600.0,
,,,ss_g150,0.2,0.8,spread_spectrum,0,,150.0,
,4.0,,stat_b4_t200,0.0,1.0,statistical,0,,,200.0
,4.0,,stat_b4_t300,0.0,1.0,statistical,0,,,300.0
,4.0,,stat_b4_t120,0.2,0.8,statistical,0,,,120.0
,4.0,,stat_b4_t80,0.8,0.2,statistical,0,,,80.0
,8.0,,stat_b8_t60,1.0,0.0,statistical,0,,,60.0
,8.0,,stat_b8_t120,1.0,0.0,statistical,0,,,120.0
200.0,4.0,1.0,dct_d200_rep1,0.4,0.6,dct,1,,,
300.0,4.0,1.0,dct_d300_rep1,0.6,0.4,dct,1,,,
400.0,4.0,1.0,dct_d400_rep1,0.8,0.2,dct,1,,,
200.0,4.0,3.0,dct_d200_rep3,1.0,0.0,dct,1,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,1,,,
200.0,,1.0,dwt_LL_d200_rep1,1.0,0.0,dwt,1,LL,,
200.0,,3.0,dwt_LL_d200_rep3,1.0,0.0,dwt,1,LL,,
300.0,,1.0,dwt_LL_d300_rep1,1.0,0.0,dwt,1,LL,,
300.0,,1.0,dwt_LH_d300_rep1,1.0,0.0,dwt,1,LH,,
400.0,,1.0,dwt_LL_d400_rep1,1.0,0.0,dwt,1,LL,,
,,,ss_g150,0.0,1.0,spread_spectrum,1,,150.0,
,,,ss_g200,0.0,1.0,spread_spectrum,1,,200.0,
,,,ss_g300,0.0,1.0,spread_spectrum,1,,300.0,
,,,ss_g500,0.0,1.0,spread_spectrum,1,,500.0,
,,,ss_g600,0.0,1.0,spread_spectrum,1,,600.0,
,4.0,,stat_b4_t80,0.0,1.0,statistical,1,,,80.0
,4.0,,stat_b4_t120,0.0,1.0,statistical,1,,,120.0
,4.0,,stat_b4_t200,0.0,1.0,statistical,1,,,200.0
,4.0,,stat_b4_t300,0.0,1.0,statistical,1,,,300.0
,8.0,,stat_b8_t60,1.0,0.0,statistical,1,,,60.0
