method,label,mean_text_acc,mean_ber_text
spread_spectrum,ss_g200,1.0,0.0
spread_spectrum,ss_g300,1.0,0.0
spread_spectrum,ss_g500,1.0,0.0
spread_spectrum,ss_g600,1.0,0.0
statistical,stat_b4_t200,1.0,0.0
statistical,stat_b4_t300,1.0,0.0
spread_spectrum,ss_g150,0.9714285714285714,0.028571428571428574
statistical,stat_b4_t120,0.9714285714285714,0.028571428571428574
statistical,stat_b4_t80,0.8857142857142858,0.1142857142857143
dct,dct_d200_rep1,0.34285714285714286,0.6571428571428571
dct,dct_d300_rep1,0.31428571428571433,0.6857142857142857
dct,dct_d400_rep1,0.2,0.7999999999999999
dct,dct_d200_rep3,0.1142857142857143,0.8857142857142858
dwt,dwt_LH_d300_rep1,0.1142857142857143,0.8857142857142858
dwt,dwt_LL_d200_rep3,0.05714285714285715,0.9428571428571428
dct,dct_d300_b8_rep1,0.0,1.0
dwt,dwt_LL_d200_rep1,0.0,1.0
dwt,dwt_LL_d300_rep1,0.0,1.0
dwt,dwt_LL_d400_rep1,0.0,1.0
statistical,stat_b8_t120,0.0,1.0
statistical,stat_b8_t60,0.0,1.0
