ablation_idx,method,delta,block_size,rep,label,ber_text,text_acc,band,gain,threshold
1,spread_spectrum,,,,ss_g70,0.0,1.0,,70.0,
1,statistical,,4.0,,stat_b4_t60,0.0,1.0,,,60.0
3,spread_spectrum,,,,ss_g110,0.0,1.0,,110.0,
4,spread_spectrum,,,,ss_g70,0.0,1.0,,70.0,
4,statistical,,4.0,,stat_b4_t70,0.0,1.0,,,70.0
2,spread_spectrum,,,,ss_g110,0.03333333333333333,0.9666666666666667,,110.0,
2,statistical,,4.0,,stat_b4_t60,0.03333333333333333,0.9666666666666667,,,60.0
5,statistical,,4.0,,stat_b4_t70,0.03333333333333333,0.9666666666666667,,,70.0
3,statistical,,4.0,,stat_b4_t60,0.06666666666666667,0.9333333333333333,,,60.0
5,spread_spectrum,,,,ss_g90,0.06666666666666667,0.9333333333333333,,90.0,
0,spread_spectrum,,,,ss_g130,0.16666666666666666,0.8333333333333334,,130.0,
0,statistical,,4.0,,stat_b4_t70,0.43333333333333335,0.5666666666666667,,,70.0
1,dct,150.0,4.0,1.0,dct_d150_b4_rep1,0.43333333333333335,0.5666666666666667,,,
2,dwt,250.0,,1.0,dwt_LH_d250_rep1,0.6333333333333333,0.36666666666666664,LH,,
4,dct,200.0,4.0,1.0,dct_d200_b4_rep1,0.6333333333333333,0.36666666666666664,,,
5,dct,200.0,4.0,1.0,dct_d200_b4_rep1,0.7,0.3,,,
5,dwt,250.0,,1.0,dwt_LH_d250_rep1,0.7,0.3,LH,,
4,dwt,250.0,,1.0,dwt_LH_d250_rep1,0.7666666666666667,0.23333333333333334,LH,,
1,dwt,250.0,,1.0,dwt_LH_d250_rep1,0.8333333333333334,0.16666666666666666,LH,,
2,dct,300.0,4.0,1.0,dct_d300_b4_rep1,0.8333333333333334,0.16666666666666666,,,
3,dct,200.0,4.0,1.0,dct_d200_b4_rep1,0.8333333333333334,0.16666666666666666,,,
0,dct,150.0,4.0,1.0,dct_d150_b4_rep1,1.0,0.0,,,
0,dwt,250.0,,1.0,dwt_LH_d250_rep1,1.0,0.0,LH,,
3,dwt,250.0,,1.0,dwt_LH_d250_rep1,1.0,0.0,LH,,
