method,label,mean_text_acc,mean_ber_text
spread_spectrum,ss_g110,0.9222222222222222,0.07777777777777778
spread_spectrum,ss_g130,0.9111111111111111,0.08888888888888889
statistical,stat_b4_t70,0.8888888888888888,0.11111111111111112
spread_spectrum,ss_g90,0.8833333333333333,0.11666666666666665
statistical,stat_b4_t60,0.8500000000000001,0.15
spread_spectrum,ss_g70,0.8277777777777778,0.17222222222222225
statistical,stat_b4_t50,0.7777777777777778,0.2222222222222222
spread_spectrum,ss_g50,0.7277777777777779,0.2722222222222222
statistical,stat_b4_t35,0.5111111111111111,0.48888888888888893
dct,dct_d200_b4_rep1,0.24444444444444444,0.7555555555555555
dct,dct_d300_b4_rep1,0.2333333333333333,0.7666666666666666
dct,dct_d150_b4_rep1,0.22777777777777777,0.7722222222222221
dwt,dwt_LH_d250_rep1,0.17777777777777778,0.8222222222222223
statistical,stat_b4_t20,0.15,0.8500000000000001
dwt,dwt_LH_d300_rep1,0.14444444444444443,0.8555555555555556
dwt,dwt_LH_d400_rep1,0.07222222222222223,0.9277777777777777
dct,dct_d500_b4_rep1,0.06666666666666667,0.9333333333333332
dwt,dwt_LH_d500_rep1,0.022222222222222223,0.9777777777777779
dct,dct_d200_b8_rep1,0.0,1.0
dct,dct_d300_b8_rep1,0.0,1.0
dwt,dwt_HL_d300_rep1,0.0,1.0
